ID,figure,size,color,rotation_angle,center_x,center_y
0,square,15,#FFA500,8,-1,-1
1,hexagon,11,#FF0000,25,3,4
2,hexagon,11,#FF00FF,19,4,-4
3,square,15,#FF00FF,18,0,0
4,circle,15,#FFFF00,0,-1,-1
5,hexagon,12,#FF00FF,58,-4,-2
6,pentagon,14,#800080,1,-2,1
7,hexagon,5,#00FFFF,12,10,-7
8,triangle,10,#00FF00,43,-3,-6
9,hexagon,8,#FF0000,30,2,-1
10,triangle,9,#00FFFF,33,4,4
11,pentagon,5,#0000FF,20,-2,-2
12,circle,8,#FF0000,0,2,-2
13,hexagon,11,#FF00FF,17,0,0
14,square,13,#FF00FF,43,-3,-3
15,square,15,#FF0000,14,-1,-1
16,pentagon,8,#FF00FF,47,4,4
17,hexagon,11,#0000FF,30,2,-5
18,hexagon,12,#00FFFF,20,2,1
19,pentagon,8,#00FF00,55,0,6
20,pentagon,14,#0000FF,35,0,-1
21,square,15,#0000FF,34,0,0
22,square,7,#00FF00,32,-7,-7
23,square,12,#00FF00,27,-2,0
24,hexagon,14,#FFFF00,19,1,-2
25,pentagon,12,#00FF00,52,0,-4
26,triangle,11,#008000,9,-4,-4
27,triangle,10,#FF0000,34,-3,0
28,square,12,#FFA500,18,-2,-1
29,hexagon,15,#0000FF,40,0,0
30,triangle,6,#000000,61,-2,-4
31,circle,5,#0000FF,0,3,10
32,triangle,9,#FF00FF,31,-6,-6
33,circle,13,#008000,0,2,-1
34,pentagon,11,#FF0000,5,3,0
35,hexagon,10,#FFFF00,45,5,2
36,pentagon,13,#FFA500,67,-3,-1
37,pentagon,5,#008000,30,0,8
38,pentagon,8,#FFFF00,38,-7,7
39,hexagon,15,#00FF00,19,0,-1
40,pentagon,10,#0000FF,11,-6,-4
41,square,8,#00FF00,16,-3,5
42,circle,10,#FFFF00,0,-2,-5
43,triangle,8,#008000,26,6,0
44,triangle,13,#00FFFF,38,-2,0
45,square,14,#000000,64,-1,-1
46,pentagon,13,#008000,17,1,1
47,square,6,#0000FF,27,-10,3
48,circle,13,#FF0000,0,-3,-3
49,pentagon,7,#FF00FF,16,0,-4
50,circle,12,#000000,0,-2,-1
51,pentagon,9,#000000,10,-3,-3
52,hexagon,7,#000000,20,-4,-6
53,pentagon,5,#00FF00,56,-4,-10
54,hexagon,11,#FFFF00,1,0,3
55,circle,8,#00FFFF,0,5,6
56,hexagon,10,#800080,13,-5,-4
57,hexagon,13,#FFFF00,13,-2,0
58,pentagon,5,#FF0000,35,-10,10
59,hexagon,11,#008000,37,0,-3
60,square,11,#FF00FF,30,0,4
61,circle,13,#000000,0,-1,-1
62,triangle,9,#FFA500,97,4,4
63,circle,10,#0000FF,0,-2,5
64,hexagon,15,#00FF00,17,0,0
65,square,12,#FFFF00,38,-1,-4
66,circle,12,#FFFF00,0,-4,-2
67,hexagon,8,#00FF00,2,7,5
68,hexagon,10,#00FF00,14,-6,3
69,hexagon,5,#FFFF00,44,-11,1
70,triangle,11,#FF0000,9,-5,-3
71,square,7,#00FF00,0,2,-8
72,hexagon,10,#008000,59,1,-5
73,circle,14,#FF00FF,0,-2,0
74,circle,15,#FF00FF,0,0,0
75,triangle,6,#008000,30,3,-10
76,triangle,12,#FF0000,75,1,-2
77,pentagon,8,#FF00FF,27,6,-5
78,pentagon,13,#FF00FF,69,-3,2
79,triangle,6,#00FF00,46,-9,-1
80,circle,12,#FFFF00,0,0,-3
81,triangle,12,#000000,45,-3,-3
82,pentagon,5,#000000,52,7,9
83,square,9,#FF00FF,62,-5,3
84,triangle,5,#FF00FF,42,-7,2
85,circle,15,#FFA500,0,-1,0
86,pentagon,13,#00FFFF,2,-3,0
87,pentagon,14,#00FF00,17,-2,0
88,triangle,7,#0000FF,79,7,3
89,triangle,15,#008000,17,0,-1
90,hexagon,14,#FFFF00,42,0,-1
91,hexagon,8,#800080,1,-2,6
92,triangle,14,#00FFFF,56,-2,-2
93,pentagon,15,#00FFFF,50,-1,-1
94,hexagon,13,#0000FF,14,0,-2
95,circle,8,#000000,0,-7,0
96,hexagon,13,#FF00FF,3,2,-3
97,circle,12,#00FF00,0,-3,0
98,hexagon,15,#800080,20,-1,0
99,square,11,#FF0000,30,3,-4
100,triangle,14,#008000,32,1,0
101,circle,15,#00FF00,0,0,-1
102,triangle,6,#008000,59,-10,4
103,triangle,12,#FFFF00,75,-4,3
104,triangle,7,#FFFF00,93,0,2
105,hexagon,12,#0000FF,25,-3,1
106,hexagon,9,#FFFF00,4,0,2
107,triangle,5,#800080,107,0,0
108,square,13,#00FF00,71,1,-3
109,pentagon,7,#00FFFF,62,1,3
110,circle,9,#00FFFF,0,-7,2
111,hexagon,13,#FF00FF,43,-3,2
112,circle,15,#0000FF,0,-1,-1
113,square,7,#0000FF,34,-5,-7
114,triangle,7,#FFFF00,62,3,-1
115,circle,13,#FF00FF,0,1,0
116,circle,10,#000000,0,5,-1
117,circle,11,#00FFFF,0,-2,2
118,square,15,#0000FF,63,-1,0
119,pentagon,7,#800080,36,-7,-6
120,pentagon,14,#FF00FF,18,1,-2
121,pentagon,15,#FFFF00,32,-1,-1
122,hexagon,10,#FF00FF,31,-5,-6
123,pentagon,13,#FFA500,36,0,-1
124,hexagon,6,#FFA500,19,3,-6
125,hexagon,6,#00FF00,41,8,-4
126,triangle,12,#000000,11,0,-3
127,hexagon,9,#00FFFF,38,-6,-6
128,hexagon,9,#0000FF,12,-5,4
129,circle,15,#800080,0,0,0
130,pentagon,6,#0000FF,64,-8,5
131,square,10,#FF00FF,38,1,5
132,circle,11,#FF0000,0,-2,1
133,pentagon,5,#00FF00,67,9,-9
134,circle,10,#00FF00,0,-5,-3
135,hexagon,15,#008000,24,-1,0
136,circle,15,#FFA500,0,-1,0
